Crop,Region,Acreage,CropDays,Temperature,SoilMoisture,Humidity,Evapotranspiration,CropCoefficient,WaterRequirement
Wheat,Tropical,4.45,98,38.0,17.4,31.0,5.17,0.83,77276.0
Wheat,Tropical,3.56,142,35.5,15.7,81.7,6.24,0.87,78212.0
Maize,Semi-Arid,0.52,111,30.0,32.3,31.3,6.16,0.99,12833.0
Wheat,Temperate,1.37,92,34.3,39.4,64.2,5.25,0.83,24159.0
Wheat,Temperate,0.98,109,25.3,23.0,78.8,6.36,0.88,22196.0
Wheat,Semi-Arid,1.28,179,26.0,19.0,69.6,5.92,0.88,26986.0
Paddy,Temperate,3.29,161,38.1,39.2,87.8,4.76,1.03,65277.0
Wheat,Semi-Arid,0.8,112,29.9,24.7,73.9,4.5,0.84,12238.0
Paddy,Tropical,4.99,160,26.5,35.6,56.9,5.89,1.03,122510.0
Paddy,Tropical,1.54,154,29.1,38.5,30.6,6.39,1.08,43009.0
Wheat,Semi-Arid,2.29,136,31.6,19.4,42.5,4.96,0.86,39531.0
Wheat,Semi-Arid,4.41,103,30.5,35.9,53.1,4.91,0.82,71854.0
Wheat,Tropical,3.97,125,33.0,10.5,75.8,6.32,0.88,89353.0
Paddy,Tropical,4.08,104,25.0,27.9,62.5,4.9,1.06,85759.0
Wheat,Tropical,3.43,81,37.0,19.3,51.9,4.64,0.82,52813.0
Paddy,Tropical,3.2,111,34.9,32.7,86.7,4.58,1.05,62276.0
Paddy,Semi-Arid,1.16,155,39.8,14.3,54.9,4.92,1.07,24713.0
Wheat,Tropical,0.54,176,32.8,12.6,44.5,6.15,0.86,11558.0
Paddy,Temperate,1.1,169,35.3,34.0,34.0,5.84,1.04,27037.0
Maize,Semi-Arid,4.53,88,39.0,11.6,57.9,6.37,0.91,106267.0
Paddy,Semi-Arid,4.03,86,34.9,26.6,61.8,5.4,1.06,93352.0
Maize,Tropical,1.24,93,26.2,11.8,37.3,5.46,0.9,24659.0
Maize,Temperate,4.89,179,36.2,36.2,50.4,4.82,0.92,87753.0
Paddy,Temperate,1.53,175,33.1,24.8,25.7,5.86,1.07,38823.0
Wheat,Tropical,1.42,86,31.9,36.0,70.9,6.19,0.84,29880.0
Wheat,Tropical,2.17,99,32.6,26.3,56.0,5.38,0.83,39214.0
Wheat,Temperate,3.23,158,38.5,22.7,39.4,5.07,0.84,55668.0
Wheat,Semi-Arid,3.3,119,37.5,17.1,74.3,4.86,0.82,53221.0
Paddy,Tropical,1.31,148,26.0,23.1,26.8,5.39,1.1,31432.0
Maize,Temperate,3.17,149,34.8,19.4,47.9,5.81,0.94,70062.0
Maize,Temperate,3.19,115,39.5,23.6,36.5,5.38,0.96,66675.0
Paddy,Tropical,3.51,80,31.7,27.6,86.4,4.83,1.04,71352.0
Wheat,Temperate,2.11,155,32.1,35.3,76.4,6.24,0.86,45823.0
Maize,Tropical,1.71,81,26.8,16.9,23.6,4.74,0.91,29849.0
Paddy,Tropical,0.9,112,32.6,11.2,30.4,5.46,1.02,20284.0
Maize,Temperate,4.78,129,39.6,27.4,37.8,5.48,0.9,95405.0
Paddy,Semi-Arid,0.63,124,27.2,38.2,71.3,4.88,1.01,12566.0
Maize,Temperate,2.5,84,39.5,17.7,66.3,6.39,0.97,62709.0
Paddy,Tropical,1.6,105,38.0,27.1,22.1,5.88,1.0,38073.0
Wheat,Semi-Arid,4.73,93,30.9,29.5,27.5,6.5,0.86,107002.0
Paddy,Tropical,4.4,168,38.1,33.5,59.7,4.72,1.03,86567.0
Paddy,Temperate,1.97,98,37.1,32.9,75.8,6.24,1.04,51737.0
Wheat,Temperate,2.95,168,29.9,28.9,62.7,5.89,0.81,56956.0
Wheat,Semi-Arid,1.57,114,28.4,12.2,62.2,5.79,0.84,30901.0
Paddy,Tropical,2.21,105,39.3,35.4,84.0,5.18,1.05,48644.0
Wheat,Semi-Arid,3.11,123,32.2,21.8,58.5,5.94,0.84,62798.0
Maize,Temperate,4.2,159,34.7,36.9,37.0,5.26,0.95,84933.0
Wheat,Temperate,1.38,157,32.3,17.7,39.9,6.36,0.85,30191.0
Maize,Tropical,0.9,109,35.7,18.2,48.9,5.54,0.96,19371.0
Maize,Tropical,1.32,92,27.8,18.9,75.5,5.01,0.97,25960.0
Paddy,Semi-Arid,2.98,124,34.5,38.5,62.1,5.53,1.08,72025.0
Wheat,Tropical,3.41,167,31.2,35.2,83.0,4.97,0.88,60355.0
Wheat,Semi-Arid,3.79,179,31.4,30.0,26.7,5.4,0.83,68743.0
Paddy,Tropical,1.56,177,32.1,26.1,32.5,5.78,1.02,37220.0
Maize,Temperate,1.54,157,34.5,11.8,29.9,5.69,0.95,33688.0
Paddy,Semi-Arid,2.43,118,35.9,10.5,43.9,4.71,1.04,48170.0
Paddy,Tropical,4.57,115,26.3,36.8,33.4,4.95,1.03,94292.0
Wheat,Tropical,2.49,139,26.0,34.0,36.4,5.04,0.86,43676.0
Paddy,Semi-Arid,1.54,137,30.0,30.1,89.6,5.23,1.07,34876.0
Maize,Tropical,2.59,87,33.7,12.7,87.3,5.88,0.97,59782.0
Wheat,Temperate,2.34,109,31.8,32.7,44.3,6.35,0.82,49308.0
Wheat,Semi-Arid,4.88,84,36.1,33.1,37.1,5.54,0.81,88620.0
Paddy,Semi-Arid,4.05,111,26.9,34.8,74.7,4.63,1.03,78161.0
Wheat,Temperate,2.04,164,30.2,17.2,55.7,5.29,0.82,35811.0
Maize,Tropical,4.43,85,38.8,24.9,89.5,5.28,0.99,93711.0
Maize,Semi-Arid,2.93,124,30.7,36.3,80.8,4.78,0.94,53277.0
Maize,Semi-Arid,0.86,100,25.3,14.6,35.7,6.45,0.93,20877.0
Paddy,Semi-Arid,1.1,133,29.7,28.2,29.7,6.16,1.08,29615.0
Maize,Tropical,4.21,92,30.5,12.0,21.8,4.97,1.0,84675.0
Wheat,Tropical,4.85,175,33.9,38.1,81.3,4.71,0.85,78578.0
Paddy,Temperate,0.58,81,34.8,14.6,24.3,4.88,1.0,11454.0
Wheat,Temperate,4.98,110,35.4,39.5,36.7,4.65,0.81,75908.0
Paddy,Tropical,1.3,95,25.9,25.3,89.8,4.97,1.03,26931.0
Wheat,Tropical,2.87,129,27.0,36.6,51.5,5.21,0.86,52040.0
Maize,Semi-Arid,4.22,180,30.8,38.9,37.4,5.46,0.94,87650.0
Paddy,Tropical,3.12,166,27.1,26.1,35.1,6.17,1.08,84136.0
Wheat,Temperate,4.11,124,25.6,21.1,38.6,5.41,0.9,80984.0
Maize,Tropical,1.07,113,29.9,32.1,53.3,5.73,0.91,22579.0
Wheat,Tropical,4.03,92,27.0,13.1,66.1,5.88,0.85,81512.0
Wheat,Temperate,4.69,139,36.7,34.8,54.7,5.4,0.83,85067.0
Wheat,Temperate,0.8,167,38.2,13.2,89.2,5.86,0.86,16316.0
Wheat,Tropical,3.86,80,26.1,12.1,20.8,5.52,0.8,68982.0
Paddy,Temperate,4.96,131,36.6,29.8,33.0,5.32,1.05,112125.0
Wheat,Tropical,3.94,143,31.4,12.5,56.0,5.09,0.87,70608.0
Wheat,Tropical,3.5,146,26.8,28.5,74.2,6.42,0.9,81840.0
Maize,Tropical,4.86,100,26.9,24.2,28.0,5.66,0.9,100187.0
Maize,Temperate,3.27,177,26.9,20.1,85.0,4.69,0.95,58961.0
Maize,Temperate,2.25,101,29.1,37.8,67.3,6.27,0.96,54807.0
Wheat,Tropical,4.17,118,37.7,37.6,37.7,4.94,0.83,69193.0
Paddy,Semi-Arid,3.78,86,27.7,11.6,42.4,6.47,1.08,106890.0
Paddy,Temperate,3.78,81,27.0,31.8,77.2,5.48,1.05,88020.0
Maize,Semi-Arid,3.8,122,36.4,32.3,62.8,5.63,0.98,84847.0
Wheat,Tropical,3.1,104,36.4,14.8,52.3,5.98,0.81,60767.0
Maize,Tropical,0.95,175,38.2,29.7,41.8,5.97,1.0,22952.0
Maize,Semi-Arid,3.6,92,33.1,25.7,79.4,4.57,0.96,63916.0
Wheat,Temperate,3.87,132,30.5,19.8,30.4,5.44,0.8,68158.0
Maize,Tropical,2.16,83,35.8,36.6,61.5,5.83,1.0,50961.0
Paddy,Tropical,0.51,117,27.5,15.4,47.1,5.68,1.07,12544.0
Wheat,Semi-Arid,0.79,159,28.4,31.1,23.7,5.7,0.86,15672.0
Maize,Semi-Arid,4.21,128,34.5,14.5,68.7,6.46,0.93,102357.0
Wheat,Tropical,2.83,127,30.6,13.7,71.5,4.68,0.88,47166.0
Wheat,Semi-Arid,3.81,154,36.0,19.0,32.1,5.77,0.86,76510.0
Maize,Tropical,2.34,157,36.2,32.2,86.5,4.87,0.91,41967.0
Wheat,Tropical,1.24,173,37.5,18.2,56.3,6.07,0.9,27414.0
Maize,Semi-Arid,2.43,148,37.6,15.6,76.2,6.37,0.93,58257.0
Paddy,Semi-Arid,0.72,118,32.4,23.1,71.1,4.61,1.06,14238.0
Paddy,Semi-Arid,1.11,110,38.8,24.2,20.9,5.06,1.06,24093.0
Maize,Tropical,4.58,89,29.1,32.8,51.5,5.04,0.92,85941.0
Wheat,Semi-Arid,0.65,163,34.3,26.9,44.2,5.32,0.85,11895.0
Maize,Temperate,1.57,111,35.0,38.9,59.2,5.29,0.91,30585.0
Paddy,Temperate,1.67,136,32.4,39.4,30.1,4.9,1.04,34440.0
Wheat,Temperate,4.87,91,30.2,13.4,30.6,5.0,0.85,83760.0
Maize,Tropical,2.95,103,26.7,35.8,70.6,6.08,0.97,70407.0
Wheat,Semi-Arid,0.87,149,37.7,22.9,29.9,6.2,0.85,18554.0
Paddy,Semi-Arid,4.38,130,34.8,26.4,24.4,6.11,1.01,109384.0
Paddy,Temperate,4.07,128,28.0,17.8,31.5,6.02,1.1,109069.0
Paddy,Tropical,1.07,158,38.2,36.1,36.7,5.62,1.0,24335.0
Paddy,Semi-Arid,2.99,82,38.6,26.2,54.8,5.24,1.06,67209.0
Maize,Tropical,2.21,98,31.6,15.9,33.1,5.66,0.98,49608.0
Wheat,Semi-Arid,3.39,94,38.7,26.0,31.1,6.09,0.83,69345.0
Maize,Tropical,2.13,106,29.2,39.5,29.8,4.57,0.96,37817.0
Wheat,Tropical,4.19,180,31.6,28.5,25.8,6.11,0.87,90135.0
Paddy,Semi-Arid,4.95,100,35.9,19.7,89.8,5.35,1.03,110386.0
Maize,Semi-Arid,3.59,82,32.9,31.6,82.3,5.26,0.91,69541.0
Maize,Semi-Arid,4.36,129,26.7,32.8,89.2,6.14,0.92,99669.0
Wheat,Semi-Arid,2.72,82,38.2,25.8,37.1,4.7,0.84,43457.0
Wheat,Semi-Arid,4.57,130,31.8,32.5,65.6,5.98,0.84,92900.0
Maize,Temperate,1.64,112,26.9,30.3,42.8,4.85,0.98,31545.0
Wheat,Temperate,4.96,166,26.2,20.2,80.6,5.11,0.87,89236.0
Maize,Temperate,3.93,132,34.8,38.1,81.0,6.11,0.91,88429.0
Wheat,Semi-Arid,3.43,85,35.1,26.8,27.8,5.42,0.89,66958.0
Wheat,Semi-Arid,2.21,109,37.0,24.4,21.3,6.34,0.85,48197.0
Maize,Tropical,3.68,130,37.4,31.0,78.8,6.43,0.91,87140.0
Maize,Tropical,3.33,98,38.1,13.4,69.3,4.64,0.96,60028.0
Wheat,Temperate,0.56,131,29.5,28.0,40.8,5.96,0.82,11076.0
Wheat,Temperate,4.56,87,38.2,19.9,43.8,5.75,0.8,84887.0
Wheat,Temperate,1.78,91,33.7,39.9,79.9,5.82,0.88,36893.0
Wheat,Tropical,1.02,152,38.6,30.1,78.1,4.55,0.86,16152.0
Maize,Tropical,1.93,155,32.0,14.1,43.9,4.84,0.94,35534.0
Wheat,Semi-Arid,3.16,108,34.6,30.3,29.2,6.07,0.86,66756.0
Maize,Semi-Arid,4.78,113,32.1,39.5,38.8,4.64,0.97,87063.0
Wheat,Tropical,0.68,85,25.7,14.2,39.4,5.4,0.8,11888.0
Wheat,Tropical,1.38,114,31.7,24.2,61.4,4.51,0.85,21409.0
Paddy,Tropical,4.25,99,26.6,20.2,76.2,4.94,1.0,84964.0
Paddy,Tropical,4.69,88,37.3,18.5,77.3,5.19,1.03,101460.0
Maize,Semi-Arid,0.63,143,35.5,39.8,29.2,4.83,0.96,11822.0
Maize,Semi-Arid,4.58,91,35.1,18.9,70.3,5.94,0.94,103490.0
Wheat,Semi-Arid,0.73,126,25.9,28.1,68.1,5.83,0.86,14812.0
Wheat,Semi-Arid,2.16,98,33.9,26.5,83.0,5.14,0.85,38190.0
Wheat,Semi-Arid,3.51,153,30.4,27.8,20.7,4.78,0.89,60429.0
Wheat,Temperate,4.43,163,34.6,32.2,57.1,5.57,0.86,85877.0
Paddy,Tropical,2.4,114,31.7,12.5,48.0,4.75,1.0,46134.0
Wheat,Semi-Arid,2.6,103,34.8,35.4,68.5,5.31,0.82,45814.0
Wheat,Temperate,1.88,109,31.7,34.0,77.6,6.02,0.83,38015.0
Maize,Semi-Arid,3.12,136,25.4,21.8,56.8,4.83,0.93,56716.0
Wheat,Semi-Arid,0.7,144,30.2,14.6,21.8,5.77,0.86,14057.0
Maize,Semi-Arid,4.06,90,29.7,30.3,62.4,6.18,0.94,95447.0
Paddy,Temperate,3.6,129,32.3,10.8,55.4,4.77,1.05,72967.0
Paddy,Tropical,0.64,143,31.2,21.9,41.9,5.42,1.0,14038.0
Paddy,Semi-Arid,4.26,116,39.3,19.4,82.2,6.15,1.01,107084.0
Wheat,Tropical,3.23,96,30.8,20.2,57.9,5.46,0.81,57809.0
Wheat,Temperate,3.93,166,31.6,19.1,38.2,4.85,0.85,65565.0
Wheat,Temperate,1.72,123,37.5,26.3,31.6,4.78,0.83,27615.0
Maize,Semi-Arid,4.18,179,31.0,39.8,81.6,5.64,0.92,87773.0
Paddy,Temperate,3.79,87,25.6,24.3,58.0,4.76,1.05,76657.0
Maize,Temperate,3.75,124,31.9,11.1,72.2,4.75,0.99,71364.0
Wheat,Semi-Arid,2.6,91,39.5,38.5,55.9,5.68,0.87,51995.0
Paddy,Tropical,2.85,141,36.4,21.6,55.8,5.22,1.05,63215.0
Wheat,Temperate,4.91,161,31.7,28.1,61.4,6.41,0.89,113357.0
Maize,Temperate,4.34,160,34.6,19.0,36.8,6.27,0.91,100211.0
Maize,Tropical,4.87,140,38.9,10.6,53.4,4.56,0.9,80882.0
Maize,Semi-Arid,1.1,100,30.4,34.1,39.5,6.41,0.97,27678.0
Maize,Tropical,1.4,105,37.4,18.8,21.0,5.18,1.0,29348.0
Wheat,Temperate,1.14,87,36.5,29.8,73.6,5.73,0.87,22998.0
Maize,Temperate,0.85,83,31.1,12.0,44.4,5.76,0.95,18823.0
Wheat,Tropical,0.83,140,26.5,36.1,67.7,5.5,0.89,16442.0
Paddy,Semi-Arid,2.65,145,26.1,22.1,40.7,5.06,1.02,55350.0
Maize,Tropical,2.32,106,25.3,27.5,79.0,5.78,0.99,53724.0
Wheat,Temperate,1.47,98,34.7,13.7,82.2,6.23,0.8,29649.0
Paddy,Semi-Arid,3.31,131,34.6,25.8,52.4,6.15,1.06,87323.0
Maize,Temperate,2.84,156,38.8,31.6,48.1,5.07,0.96,55939.0
Paddy,Tropical,3.75,155,31.0,13.1,33.2,4.59,1.08,75229.0
Paddy,Tropical,0.78,129,32.0,20.2,85.8,6.36,1.07,21481.0
Wheat,Temperate,1.72,106,38.0,27.2,83.5,5.37,0.84,31398.0
Wheat,Tropical,4.71,130,26.3,30.6,54.6,6.36,0.84,101830.0
Wheat,Temperate,0.52,102,28.8,36.3,32.8,6.4,0.87,11717.0
Maize,Tropical,1.71,163,36.7,29.3,23.4,5.5,0.99,37680.0
Maize,Tropical,2.45,126,26.7,29.0,74.0,4.6,0.95,43328.0
Wheat,Temperate,2.98,179,37.8,16.4,66.0,5.96,0.82,58938.0
